vehicle_type,make,model,vehicle_year,seats,fuel_type,nominal_l_per_100km,allowed_load_kg,vehicle_id,service_status
Bus,Mercedes,Sprinter,2018,18,Petrol,18.2,1500,FLT-V-001,due
Bus,Toyota,Coaster,2018,22,Petrol,16.1,2000,FLT-V-002,active
Van,Toyota,Hiace,2025,12,Diesel,11.8,1100,FLT-V-003,active
Bus,Toyota,Coaster,2019,18,Diesel,17.3,1500,FLT-V-004,active
Bus,Toyota,Coaster,2023,22,Petrol,17.6,2000,FLT-V-005,due
Car,Hyundai,Elantra,2017,4,Diesel,8.0,500,FLT-V-006,active
Bus,Isuzu,Bus,2017,30,Petrol,19.8,1500,FLT-V-007,active
Car,Hyundai,Elantra,2024,4,Petrol,6.2,500,FLT-V-008,active
Bus,Toyota,Coaster,2019,40,Diesel,19.3,2000,FLT-V-009,due
Bus,Toyota,Coaster,2025,22,Petrol,16.8,3000,FLT-V-010,active
Car,Nissan,Sunny,2019,5,Petrol,8.0,400,FLT-V-011,active
Van,Hyundai,H1,2018,14,Petrol,9.4,900,FLT-V-012,active
Bus,Toyota,Coaster,2024,18,Petrol,13.4,2000,FLT-V-013,due
Car,Nissan,Sunny,2021,5,Petrol,8.3,400,FLT-V-014,active
Van,Toyota,Hiace,2020,12,Petrol,12.0,700,FLT-V-015,active
Car,Kia,Cerato,2019,5,Diesel,7.5,600,FLT-V-016,active
Car,Nissan,Sunny,2018,5,Petrol,7.4,400,FLT-V-017,due
Car,Toyota,Corolla,2018,5,Petrol,8.0,500,FLT-V-018,active
Van,Toyota,Hiace,2020,14,Diesel,9.4,900,FLT-V-019,active
Car,Toyota,Corolla,2017,5,Petrol,6.4,500,FLT-V-020,active
