reservation_id,vehicle_id,vehicle_type,request_timestamp,approval_timestamp,trip_start_timestamp,trip_end_timestamp,status,route_km,estimated_fuel_liters,actual_fuel_liters,fuel_price,passengers,load_kg,traffic_band,ac_used
FLT-RES-0001,FLT-V-001,Bus,2026-08-01 08:00:00,2026-08-01 08:30:00,2026-08-01 09:30:00,2026-08-01 15:57:18,completed,332.7,60.55,,12.5,3,716.8,Low,0
FLT-RES-0002,FLT-V-002,Bus,2026-08-01 10:00:00,2026-08-01 10:30:00,2026-08-01 11:30:00,2026-08-01 19:28:48,completed,315.7,50.83,66.62,12.5,11,140.6,Medium,1
FLT-RES-0003,FLT-V-003,Van,2026-08-01 12:00:00,2026-08-01 12:30:00,2026-08-01 13:30:00,2026-08-01 17:04:48,completed,90.6,10.69,13.28,12.5,5,1084.0,Low,1
FLT-RES-0004,FLT-V-004,Bus,2026-08-01 14:00:00,2026-08-01 14:30:00,2026-08-01 15:30:00,2026-08-01 17:50:30,completed,77.7,13.44,17.02,12.5,18,279.1,Medium,0
FLT-RES-0005,FLT-V-005,Bus,2026-08-01 16:00:00,2026-08-01 16:30:00,2026-08-01 17:30:00,2026-08-01 20:05:12,completed,68.6,12.07,19.16,12.5,18,330.0,High,1
FLT-RES-0006,FLT-V-006,Car,2026-08-02 08:00:00,2026-08-02 08:30:00,2026-08-02 09:30:00,2026-08-02 13:10:42,completed,176.2,14.1,17.89,12.5,3,486.1,Low,1
FLT-RES-0007,FLT-V-007,Bus,2026-08-02 10:00:00,2026-08-02 10:30:00,2026-08-02 11:30:00,2026-08-02 22:03:36,completed,392.4,77.7,98.86,12.5,20,254.7,Medium,0
FLT-RES-0008,FLT-V-008,Car,2026-08-02 12:00:00,2026-08-02 12:30:00,2026-08-02 13:30:00,2026-08-03 01:01:00,completed,345.8,21.44,32.47,12.5,2,147.2,High,0
FLT-RES-0009,FLT-V-009,Bus,2026-08-02 14:00:00,2026-08-02 14:30:00,2026-08-02 15:30:00,2026-08-02 18:26:24,completed,105.0,20.26,23.37,12.5,15,714.4,Low,0
FLT-RES-0010,FLT-V-010,Bus,2026-08-02 16:00:00,2026-08-02 16:30:00,2026-08-02 17:30:00,2026-08-02 21:29:24,completed,215.3,36.17,52.5,12.5,7,131.3,High,1
FLT-RES-0011,FLT-V-011,Car,2026-08-03 08:00:00,2026-08-03 08:30:00,2026-08-03 09:30:00,2026-08-03 11:44:30,completed,89.6,7.17,9.2,12.5,3,195.8,Low,0
FLT-RES-0012,FLT-V-012,Van,2026-08-03 10:00:00,2026-08-03 10:30:00,2026-08-03 11:30:00,2026-08-03 14:11:48,completed,173.6,16.32,22.68,12.5,13,710.9,Medium,1
FLT-RES-0013,FLT-V-013,Bus,2026-08-03 12:00:00,2026-08-03 12:30:00,2026-08-03 13:30:00,2026-08-03 14:43:00,completed,75.1,10.06,12.43,12.5,6,100.9,Low,1
FLT-RES-0014,FLT-V-014,Car,2026-08-03 14:00:00,2026-08-03 14:30:00,2026-08-03 15:30:00,2026-08-03 18:27:36,completed,111.2,9.23,11.12,12.5,3,193.7,Low,1
FLT-RES-0015,FLT-V-015,Van,2026-08-03 16:00:00,2026-08-03 16:30:00,2026-08-03 17:30:00,2026-08-03 19:04:48,completed,75.2,9.02,12.87,12.5,10,689.0,High,1
FLT-RES-0016,FLT-V-016,Car,2026-08-04 08:00:00,2026-08-04 08:30:00,2026-08-04 09:30:00,2026-08-04 14:42:00,completed,310.9,23.32,27.69,12.5,3,545.1,Low,1
FLT-RES-0017,FLT-V-017,Car,2026-08-04 10:00:00,2026-08-04 10:30:00,2026-08-04 11:30:00,2026-08-04 15:47:12,completed,247.8,18.34,24.86,12.5,2,183.3,Low,1
FLT-RES-0018,FLT-V-018,Car,2026-08-04 12:00:00,2026-08-04 12:30:00,2026-08-04 13:30:00,2026-08-05 01:20:48,completed,417.0,33.36,44.78,12.5,2,443.1,Low,1
